Title,Category,Content
The Best Vintage Stores in São Paulo,Sustainable Fashion,"Vogue’s guide to the best vintage stores in São Paulo is part of our directory of the very best vintage around the world, curated by editors from all over. Whether you’re traveling and searching for some superb stores to visit on your trip or are curious about your local vintage treasure chests, Vogue’s directory has you covered. Is vintage what you think about when you think of São Paulo? It very well should be! The city is leading the secondhand and archival scene in Brazil—and South America, for that matter—with a handful of stores that satisfy a variety of vintage flights of fancy. For those looking for an emporium of theatrical vintage fashion, there is a store for that (head to Casa Juisi). If you’re less interested in older fashion and looking for more recent designer labels, there are plenty of superb options for that too (see Pretty New and Take Me Vintage.) If you enjoy the hunt and sifting through boutiques that offer a combination of the two, then Frou Frou is the store for you. It’s a fashionable choose-your-own-adventure, and to help you narrow it down, we’ve compiled a list of the best vintage stores in São Paulo, curated with the help of our editors at Vogue Brazil. Founded in 2007 by Paula Rondon and Gil França, B. Luxo is stocked with vintage pieces collected from around the world. It is a destination for no-label vintage, predominantly from the ’60s, ’70s, and ’80s. Inside the store, there are wunderkammers filled with antique jewelry, glass bell jars containing vintage accessories, and a fair amount of taxidermy birds adding to the fashion cabinet-of-curiosity vibes. The mood carries over online, where a superb selection of their wares is listed for sale. Address: R. Augusta, 2294 - Sala 22 - Cerqueira César, São Paulo - SP, 01412-100 Introducing Casa Juisi, a São Paulo institution that has long lured fashion history buffs and vintage enthusiasts to the city’s center. Here, you’ll find archival gems like Moschino’s silverware-laden jacket from 1989 and nautical ’80s fashions by Zandra Rhodes, but also American marching band costumes, theatrical opera gowns, and more. It’s a hodgepodge assortment with a common denominator of fabulousness. Address: R. Roberto Simonsen, 108 - Sé, São Paulo - SP, 01017-020 Founded in 2007 by mother-and-daughter duo Luzia Belucci and Giovanna Belucci, Frou Frou Vintage is a collection of vintage and secondhand products they’ve sourced from around the globe. Its mission is to promote the second (and third!) lives of all their pieces through affordably priced pieces for sale or rent. Inside, you’ll find a delightful mix of styles—disco balls hang from the ceiling, Persian rugs line the floors, and hats fill up every available space on the walls. Assortment-wise, it’s half thrift store and half designer vintage; shop pieces from the ’70s, ’80s, ’90s, and ’00s by Courrèges, Prada, Glória Coelho, Huis Clos, Reinaldo Lourenço, Bottega Veneta, Cacharel, Comme des Garçons, and more. Address: R. Augusta, 725 - 2 - Consolação São Paulo - SP, 01305-100 This store’s name, Minha Avó Tinha (meaning “My Grandmother Had” in Portuguese), sums things up perfectly. This is not your label-laden vintage store but a collection of early 20th-century pieces that your grandmother just might have actually hand. This Art Deco jewelry, lace shirting, woolen A-line skirts, boxy-shouldered blazers. All of this is displayed alongside vintage decor and furniture that adds to the ambiance but is also for sale. It had all the charm of a thrift store but all the presentation (and organization!) of a high-end designer vintage salon. Address: R. Tomé de Souza, 100 - Lapa, São Paulo - SP, 05079-000 For secondhand designer fashion, New4another is a well-stocked boutique and e-boutique frequented by São Paulo’s fashion crowd. The store, which is decorated in shades of sage green, is pristinely organized with shoes, accessories, wallets, and clothing galore in excellent condition. You won't find vintage-vintage here but you will find a great, barely-worn Zimmermann dress you can wear to your next outing. Address: R. Campo Verde, 61 - Conj 72 - Jardim Europa São Paulo - SP, 01456-010 Colors! Texture! Mood! And we're not even talking about the clothes. Pretty New’s punchy boutique is a delight to visit. The HQ for a second-hand resale site is stocked with high-end labels—in this one corner, you'll clock Loewe, Balenciaga, Chanel, Veronica Beard, and more. Founded by Gabriella Constantino Leal in 2014, the store is curated with current-season trends, and there's even a never-worn but not new section. It's the next best thing—better?—to shopping firsthand fashion in SP. Address: Av. Nove de Julho, 4865 - Jardim Paulista, São Paulo - SP, 01407-200 Conveniently located in a shopping mall behind a nondescript wooden door (IYKYK), Take Me Vintage is a sprawling emporium for secondhand designer fashions. Shoppable in-store and online, Take Me Vintage is more designer-secondhand than vintage, but there are plenty of runway pieces and heirlooms in the making up for grabs. Clothing is organized by color and vibe, and the shoes playfully line the store, winding all the way up the sets to the upper floor. Address: Shopping Cidade Jardim Av. Magalhães de Castro, 12.000 - Cidade Jardim, São Paulo - SP, 05502-001 More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
A Moment For the Cool Model-Off-Duty Looks From NYFW,Streetwear,"The new fall 2025 collections, debuted during New York Fashion Week, were not the only exciting looks to take in this week. Off the catwalk, the street style scene put forward interesting new outfit propositions as well—be it via great coats, new It bags, or statement hosiery. And while this season’s crop of well-clad showgoers mostly consisted of celebrities, editors, and VIP influencers, the participating models—dashing from one show to the next—also delivered their own fashion flavor. This week’s shows served as a true hub for impeccable model-off-duty style, as there is something effortlessly cool about the way models put outfits together in between gigs. Sure, their own outfits often different drastically from the new designs they sport on the runway, but they sometimes strike similar notes of elegance and trendiness. Take model of the moment Alex Consani, who was spotted in an oversized cream sweater and slouchy leather boots, or runway regular Paloma Elsesser, who paired calf-length leggings with a cropped leather bomber. Other supermodels, like Kendall Jenner, opted for statement accessories to keep warm during the week—like a jaunty hat and scarf. While the looks were built for function and coziness while on-the-go—they were also perfect for the awaiting street style photographers crowing around pre-and-post show. This is NYFW, after all: one must be camera-ready at all times. In need of some winter style inspiration? Look no further than to the models who made the streets of New York their personal runway. Below, more of the best model-off-duty moments from NYFW. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
5 Ways to Style Hotel-Like Slippers for Everyday,Streetwear,"Products are independently selected by our editors. We may earn an affiliate commission from links. Few things communicate luxury quite like a well-appointed pair of hotel slippers. Designers are bringing that energy to the everyday with inspired slippers that are created for the streets. Miu Miu arguably started the trend last fall with a logo’ed leather pair that set the tone and The Row has made the slipper one of its house codes, most often paired with louche silhouettes in neutral tones. Consider the slipper the less feminine take on last spring’s fixation on the ballerina, primed to be paired with maxi dresses and easy trousers with tanks as the weather warms up. Surprisingly versatile, you can style yours with denim for weekend wear, suiting for the office, and nearly every occasion in between. From sleek satin pairs by The Row and Loro Piana, to fur-lined Toteme slippers, and leather styles from Proenza Schouler and Bottega Veneta, the options are nearly endless—and wildly comfortable. Pair them with socks now for warmth or wear them solo come spring, simply slide into the slipper look and thank us later. Embrace the anorak trend—but make it extra elegant by pairing yours with a poplin midi and elevated accessories. A satin slipper is the ideal shoe to keep the whole thing sleek but still perfectly casual. Cos technical hooded parka jacket COS Mango ribbed wool-blend top MANGO Alaïa Hop intrecciato shoulder bag NET-A-PORTER Loro Piana Alba satin ballerina mules BERGDORF GOODMAN Martha Calvo Kayla link earrings NET-A-PORTER Brunello Cucinelli gathered cotton-blend midi skirt NET-A-PORTER Sticking to an all-black color palette can sometimes feel like a revelation. The trick is in adding interest through texture, proportion, and shape—like with a wool felted cape, voluminous Bermuda shorts and a cool pendant necklace. Silk blend mules are just delicate enough to be unexpected but still wonderfully balanced. Nili Lotan Gaia silk shirt NET-A-PORTER Saint Laurent flared cashmere shorts NET-A-PORTER The Row Frances silk-blend mules SAKS FIFTH AVENUE Loulou de Saison Andrea leather shoulder bag NET-A-PORTER Cos double-faced cape COS Nuri Studios agate hoop necklace NURI STUDIOS Starting with a base of a fitted maxi knit dress allows for some truly interesting layering. Add a coordinating sweater around your shoulders and continue with an oversized leather topper and gloves. The results are effortless but unmistakably chic—especially when paired with easy leather slippers by Proenza Schouler. Jenni Kayne Celia sweater dress MODA OPERANDI Naadam The Original sashmere sweater NAADAM Celine Eyewear Triomphe gold-tone sunglasses NET-A-PORTER Proenza Schouler glove leather slippers NET-A-PORTER Nour Hammour birthday paneled leather coat NET-A-PORTER Valentino Garavani embellished fishnet gloves NET-A-PORTER The whole idea of the slippers moment tends to revolve around a black satin or velvet pair—which is, of course, lovely. But the whole look takes on a different vibe in ivory silk jacquard by The Row. Leverage all of that lightness with cashmere separates grounded by a snakeskin belt and a light gray tote. Mango wool-blend hooded sweater MANGO Mango wool-blend midi-skirt MANGO Alaïa wool-jersey turtleneck bodysuit NET-A-PORTER DeMellier New York leather tote bag MYTHERESA Khaite Lucca snake-effect leather belt MYTHERESA The Row Frances silk jacquard slippers MODA OPERANDI Why not skip the booties and loafers this time around and pair your go-to denim with some knit socks and fur lined slippers by Toteme? A smart double faced wool jacket with traditional Chinese buttons and a pillbox hat offer a feminine touch to weekend wear, while a little ’90s inspired suede bag provides a welcome modern element. Róhe double-faced wool jacket SAKS FIFTH AVENUE Khaite Danielle jeans KHAITE Gigi Burris Laura pillbox hat NET-A-PORTER Elleme trousse suede shoulder bag SHOPBOP Falke soft merino socks SHOPBOP Toteme shearling-trimmed suede slippers NET-A-PORTER While the office can feel like a pumps-only zone, mix things up with a luxury slipper—worn with a pencil skirt and coordinating vest, and finished with a tailored jacket. Note: this look can double as a date night moment—just add a sleek satin bag and statement bangles. Wardrobe.NYC Prince of Wales vest NET-A-PORTER Wardrobe.NYC contour midi skirt FWRD Zara 3 leather bracelets ZARA Zara long fitted coat ZARA Bottega Veneta Cha-Cha slipper BOTTEGA VENETA Sophie Buhai teardrop embellished satin pouch NET-A-PORTER Maison Margiela Tabi split-toe leather slippers NET-A-PORTER Charvet suede slippers NET-A-PORTER Zara sateen mule slippers ZARA Everlane The Ballet mules EVERLANE Tove Pascale calf hair slippers NET-A-PORTER Loulou de Saison Petros satin slippers NET-A-PORTER Alaïa leather mules NET-A-PORTER Ancient Greek Sandals satin slippers FWRD Vibi Venezia Furlana velvet mules BERGDORF GOODMAN Jenni Kayne Mia mules JENNI KAYNE More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
Doechii Knows Her 2025 Grammys Looks Demanded “A Certain Taste Level”,Red Carpet,"“Class is in session!” Last night, Doechii became the third woman to take home the Grammy award for Best Rap Album for Alligator Bites Never Heal. A lifelong student of hip-hop, the Swamp Princess paid homage to Jay-Z’s fondness for suiting in her Thom Browne looks. “I love telling a fashion story and that’s what we plan on doing at the Grammys,” Doechii told Vogue three days ahead of her award-winning night. And that she did. The newly minted Grammy winner wore not one but four custom Thom Browne looks for her banner night. Doechii on the red carpet at the 2025 Grammys. Accepting the Grammy for Best Rap Album. But just because she embraced the masculine elements of suiting and hip-hop culture doesn’t mean she abandoned the feminine. While she was torn on the red carpet look, Doechii settled on a off-the-shoulder gray pinstripe dress with corseting detail down the back, which she wore over a white Oxford shirt with Browne’s signature red, white, and blue armband. “I think that this is sleek and simple and to the point,” she says. “It tells a story and it’s direct.” Performing. Performing. After the Grammys. Luckily, the other look came in handy when accepting her Grammy. Doechii chose a high-waisted pannier trouser with a raglan sleeve jacket, which she loved for “the drama of it all.” “You have to have a certain taste level and an eye to immediately understand it,” she says. And that’s not to say anything of the other looks she pulled out… Watch as Doechii takes us along for her final fitting with Thom Browne ahead of the 2025 Grammys, and below see the behind-the-scenes of her Grammy-winning night. One last touch on the hair Laying down the edges is essential The placement of the face tape. The girls that get it, get it. Malcom ensuring the edges are just right. Mid-glam check More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
How to Wash Cashmere for Long-Lasting Elegance,Sustainable Fashion,"Products are independently selected by our editors. We may earn an affiliate commission from links. We know that cashmere can have a large environmental impact—which is why it’s extra important that we look after our luxurious knits to ensure they stand the test of time. But how exactly should we be washing our cashmere? And what are the best ways to look after our jumpers long-term? Below, Vogue speaks to the experts for their top tips on how to wash and care for our cashmere. While many of us are nervous about machine washing cashmere, lest it shrinks, Oyuna Tserendorj, founder of London-based cashmere brand Oyuna, says that we don’t need to be. “Cashmere can definitely be washed in a washing machine on a wool setting at 30 degrees,” she says, although she suggests that you don’t put your most expensive cashmere pieces in the wash right away. “If you’re new to machine washing cashmere, test with a less precious item first, as washing machine settings can vary.” Instead of using regular detergent, Tserendorj uses her own organic shampoo, noting that you don’t need to buy special cashmere products. For those who still aren’t sure about machine washing, hand washing is of course an option. “I tend to soak the piece in warm water with a bit of detergent and gently hand wash, then refill the sink with clear water to rinse,” says Johnstons of Elgin CEO Chris Gaffney, who likes to use Clothes Doctor’s cashmere and wool detergent. “I then pop the piece into the machine on a spin cycle to take out most of the moisture, but this can also be done by gently wringing the water out.” When it comes to drying your cashmere, make sure you shape it first. While Tserendorj leaves her cashmere pieces on a drying rack, Gaffney likes to lie his flat on a towel, adding: “You don’t want to leave it lying out of shape soaking wet for too long, and I would never tumble dry.” Another dilemma is whether to hand wash or dry clean our cashmere. Gaffney says that washing can actually increase the softness of our cashmere garments over their lifetime. However, he notes that “woven fabric needs to be dry cleaned,” while dry cleaning is also recommended “for some special heavier pieces, or very fine yarns.” If in doubt, it’s best to check the care label. This is down to personal preference: some experts say twice a season, while others suggest every three or four wears. The bottom line? You probably don’t need to wash your cashmere as much as you think you do. “Cashmere is a natural fibre, so it loves sunlight and fresh air,” Tserendorj says. “Place it outside, or on a warm radiator, to freshen up in the winter.” While most cashmere will pill to some degree, it’s less likely to be an issue with better-quality garments, “as longer cashmere fibres are used in better garments, and the quality of yarn spinning and knitting tension help too,” Gaffney explains. “Generally pilling will reduce over time as the shorter fibres come out.” To tackle any bobbly bits, you can use lint rollers or even shavers, although Gaffney recommends a specialist cashmere comb. To ensure your cashmere lasts, it’s of course crucial to store your pieces properly to keep the moths at bay. Before putting them away, Tserendorj recommends washing to remove any food remnants or strong perfume from your garments. “Then put away in a cloth bag, ideally with a cedar block,” the expert continues. “If you discover moths, put your garment in the freezer for 48 hours, which should kill the moths, and then wash as above and store away.” More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
Nicole Kidman Is So Babygirl’s Samuel in Her 2025 Critics Choice Awards Look,Red Carpet,"While the 30th annual Critics Choice Awards 2025 was a more muted affair this year, with attendees’ fashion choices leaning more into darker tones and simple silhouettes, there remained some dynamic moments. One being Nicole Kidman: the star of Babygirl decided to channel her co-star Harris Dickinson’s character Samuel in a structured blazer and pleated greige pants from Saint Laurent spring 2025. Kidman wore her voluminous blonde hair parted in the middle with subtle but well-defined waves. Nicole Kidman at the Critics Choice Awards 2025. Diverging from the Saint Laurent runway styling, Kidman wore the suit with a pale blue shirt and navy blue tie with white polka dots. Very important day in the big office vibe. For footwear, she wore black pointed pumps. The angular silhouette of the jacket, juxtaposed with the more fluid pants, reflected an assured sense of corporate power. And it makes total sense, then, when you consider the Saint Laurent spring 2025 foundations. “My last men’s show in March had been all about tailoring, but based on flou; I wanted this one to be the opposite—more strict,” Anthony Vaccarello of Saint Laurent said of the collection Kidman’s suit comes from. “It’s not about when I would do a tuxedo for a woman which was worn naked underneath. The suits come with shirts, ties. You’re dressed. It’s about control, and power, in a way.” While the look definitely channels more the energy of Kidman’s character’s sexual fantasy rather than company intern vibe, it also reflects the enduring power of the suit on this current awards season circuit. Case en point: Ayo Edebiri’s expert referencing of the Julia Roberts moment with markedly masculine tailoring at the 2025 Golden Globes. Ayo Edebiri at the Golden Globes 2025. Julia Roberts at the 1990 Golden Globes. Kidman was nominated not for Babygirl, but for Best Supporting Actress in a Drama Series for her work in Special Ops: Lioness for the Critics Choice Awards. Of course, Nicole Kidman knows how to wear a suit in both subversive and elevated ways: who could forget the glitzy gray Michael Kors pinstriped jumpsuit that recalled her iconic AMC ad. A look that was later auctioned off at Sotheby’s, and became a go-to Halloween costume, too. It’s in suiting that Kidman holds the power. Jennifer Lawrence Adds Dad Shoes to Her Maternity Wardrobe Why Does Everyone Have a Belted Bag Now? Kim Kardashian’s Dress Is More Skin and Mesh Than Actual Dress What Is the Difference Between Bootcut and Flare Jeans? Sign up for Vogue Shopping to receive the insider’s guide to what to shop and how to wear it Listen to The Run-Through with Vogue, a weekly podcast featuring the most exciting stories and hot takes from the worlds of culture, politics, sports and–of course–fashion Never miss a Vogue moment and get unlimited digital access for just $2 $1 per month. The Vogue Runway app has expanded! Update to the latest version to see all Vogue content, as well as new features like our Runway Genius quiz, Group Chats, and posts from Vogue contributors. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
Allow Zoë Kravitz to Introduce the Winter Sandal,Streetwear,"The snow from this week’s storm hasn’t even melted in New York City, but that didn’t stop Zoë Kravitz from breaking out her summer sandals. The actor and director arrived at Danielle Haim’s birthday party alongside Cara Delevingne and her Big Little Lies costar Shailene Woodley. While all of them bundled up for the blustery weather, Kravitz wasn’t going to let the cold stop her sartorial vision. She styled a pair of black leather kitten heeled ankle strap sandals with low-denier black tights. The open-toed shoe in freezing temps wasn’t the only so-called “fashion rule” that Kravitz broke last night. She bundled up in a calf-length black coat, which she paired with a navy blue fringed scarf. While the notion that one can’t wear black and navy together is outdated, here it serves as a reminder that Kravitz is wont to do what she pleases—rules (and snow) be damned. The actor finished off her look with a simple black leather envelope bag from Saint Laurent complete with a gold crossbody chain, which she matched to her smattering of gold jewelry. Amidst a sea of partygoers in wild outfits galore, Zoë Kravitz reminded us that sometimes breaking the rules can be a quiet act. Jennifer Lawrence Adds Dad Shoes to Her Maternity Wardrobe Why Does Everyone Have a Belted Bag Now? Kim Kardashian’s Dress Is More Skin and Mesh Than Actual Dress What Is the Difference Between Bootcut and Flare Jeans? Sign up for Vogue Shopping to receive the insider’s guide to what to shop and how to wear it Listen to The Run-Through with Vogue, a weekly podcast featuring the most exciting stories and hot takes from the worlds of culture, politics, sports and–of course–fashion Never miss a Vogue moment and get unlimited digital access for just $2 $1 per month. The Vogue Runway app has expanded! Update to the latest version to see all Vogue content, as well as new features like our Runway Genius quiz, Group Chats, and posts from Vogue contributors. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
Meghan Markle Sports Her Go-To Coat Brand at the 2025 Invictus Games,Red Carpet,"Every year, it is tradition for Prince Harry and Meghan Markle to attend the annual Invictus Games in Vancouver, Canada. Prince Harry is a patron for the organization, after all, and he and the Duchess of Sussex have been steady supporters of the games for years—a multi-sport event held for wounded, injured, and sick military service personnel. Yesterday, the 2025 Games kicked off in the city, and the royal couple were once again on-hand in the crowd to witness the official kickoff ceremony. Naturally, Markle brought a polished and elegant look to the affair, and kept warm by choosing one of her go-to coat brands. The Duchess opted for an ivory double-breasted trench coat from Sentaler, a Canadian luxury outerwear brand that she has worn plenty of styles from over the years. Her latest? A refined alpaca and wool coat, finished off with corozo buttons, and that retails for $2,290. She styled it minimally, with a black knit dress that allowed her outerwear to be the focal point. The Duchess of Sussex has proven to be a fan (and repeat wearer) of Sentaler’s sleek and minimal coats over the years. Markle has worn the brand’s camel coats and bright red power coats, both discreet to statement styles. And by choosing a Canadian label for a Canadian-bred event, she clearly wanted to pay tribute to the homegrown talent in the country—a thoughtful and royal touch by Meghan Markle, and not to mention, an extremely chic one. Kate Middleton’s Wardrobe Spoke Volumes. What Will Happen Now That It’s Silenced? Meghan Markle Rebrands American Riviera Orchard Into The Tig-Inspired “As Ever” A Running List of Royal Baby Names—And Their Meanings The Best Books About the British Royal Family to Read Now Never miss a Vogue moment and get unlimited digital access for just $2 $1 per month. The Vogue Runway app has expanded! Update to the latest version to see all Vogue content, as well as new features like our Runway Genius quiz, Group Chats, and posts from Vogue contributors. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
15 Archive Photos of Original Rock Chick Marianne Faithfull,Streetwear,"Marianne Faithfull’s Swinging London wardrobe was as treasured as her music. The 1960s icon—who died on Thursday at age 78, according to a spokespesron—carved out a stellar career with hits like “As Tears Go By” and “The Ballad of Lucy Jordan,” not to mention her memorable performance in Jack Cardiff’s The Girl on a Motorcycle (1968). But it’s her innate sense of style she was perhaps most famous for. From silk neck scarves to knee-high leather boots and oversized collars, the singer set the sartorial tone for the decade while sidelining flower-power fashion. Whether in a leather jumpsuit or a colorful velvet suit, Faithfull set the stage alight, her blunt fringe becoming as legendary as her four-year romance with Rolling Stone Mick Jagger. In celebration of her life, below we take a closer look at one of Britain’s longest-reigning style muses. In a cuffed minidress, she poses for a portrait with her pet Dalmatian. In her go-to paisley patterned shirt, she hangs off a ladder in London for a promo shot. For her TV appearance on Thank Your Lucky Stars, she opted for a monochrome dress and classic black pumps. She liked to add a French-girl touch to outfits in the form of a silk neck scarf. Standing outside London’s National Film Theatre (now BFI Southbank), she looked every inch the star with a jacket shrugged over her shoulders and patent Mary Janes on her feet. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
"Hailey Bieber Revives the Babushka Scarf Trend, Because Needs Must",Streetwear,"It hasn’t been long since Hailey Bieber has returned from the fashion-off that was Aspen, where she spent the start of 2025 après-skiing and hitting the slopes with husband Justin Bieber, cozying up in sumptuous faux fur with Kendall and Kylie Jenner, and heading out for dinner pantsless. But Bieber is back in New York and very much back to work promoting her new Rhode lip product. Stepping out in the city yesterday (January 29), Bieber made the dash through Union Square in a functional yet fashionable fit. She kept to neutral tones and some signature pieces, wearing an oversized beige trench and matching low-rise suit trousers, with a grey button-up cardigan and white t-shirt underneath. She also wore her go-to black penny loafers, a chocolate brown shoulder bag and sunglasses, and chose a grey cashmere scarf to wrap around her shoulders. But needs must when you’re battling that New York chill: As the weather got stormier, Bieber revealed her shoulder-draping scarf to be a bonnet. Babushka Bieber has arrived—though it’s probably more a sartorial decision to lean into the old Hollywood glamor aesthetic of the headgear, a la Audrey Hepburn or Louise Brooks. Celebrities from Kendall Jenner, to Chloë Sevigny and Marc Jacobs are also purveyors of the bonnet. Bieber keeps her winter wardrobe winning. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
